"provincia";"comune";"toponimo";"COMBUSTIBILE_Gas_metano";"COMBUSTIBILE_Gasolio";"COMBUSTIBILE_GPL";"COMBUSTIBILE_Kerosene";"COMBUSTIBILE_Olio_combustibile";"COMBUSTIBILE_Legno";"COMBUSTIBILE_Pellet";"COMBUSTIBILE_Altro";"POTENZA_minore_35_KW";"POTENZA_da_35_a_116_KW";"POTENZA_da_116_a_350_KW";"POTENZA_uguale_350_KW_e_maggiore"
"001";"001001";"AGLIE'";70;3;31;;;;;;102;1;;
"001";"001002";"AIRASCA";37;;2;;;;;;39;;;
"001";"001003";"ALA DI STURA";2;;8;;;;;;10;;;
"001";"001004";"ALBIANO D'IVREA";62;3;4;;;;;;66;;1;
"001";"001005";"ALICE SUPERIORE";17;1;7;;;;;;25;;;
"001";"001006";"ALMESE";75;6;19;;;;;;98;2;;
"001";"001007";"ALPETTE";15;2;2;;;;;;18;;;
"001";"001008";"ALPIGNANO";429;1;7;;;;;;408;9;5;4
"001";"001009";"ANDEZENO";42;;2;;;;;;30;1;4;
"001";"001010";"ANDRATE";3;2;2;;;;;;7;;;
"001";"001011";"ANGROGNA";2;;4;;;;;;5;1;;
"001";"001012";"ARIGNANO";16;2;2;;;;;;11;1;;1
"001";"001013";"AVIGLIANA";250;3;28;;;;;;270;2;6;
"001";"001014";"AZEGLIO";41;1;1;;;;;;40;;;
"001";"001015";"BAIRO";26;2;11;;;;;;38;;1;
"001";"001016";"BALANGERO";119;6;4;;;;;;123;3;;
"001";"001017";"BALDISSERO CANAVESE";23;1;5;;;;;;29;;;
"001";"001018";"BALDISSERO TORINESE";45;7;2;;;;;;52;1;;
"001";"001019";"BALME";;;;;;;;;;;;
"001";"001020";"BANCHETTE";58;2;;;;;;;57;1;1;
"001";"001021";"BARBANIA";59;1;4;;;;;;63;;;
"001";"001022";"BARDONECCHIA";29;9;7;;;;;;34;6;;1
"001";"001023";"BARONE CANAVESE";6;;1;;;;;;7;;;
"001";"001024";"BEINASCO";458;;;;;;;;397;16;13;12
"001";"001025";"BIBIANA";19;2;11;;;;;1;26;;;1
"001";"001026";"BOBBIO PELLICE";2;1;8;;;;;;11;;;
"001";"001027";"BOLLENGO";56;2;12;;;;;;68;;;
"001";"001028";"BORGARO TORINESE";352;5;4;;;;;;331;3;1;6
"001";"001029";"BORGIALLO";5;1;17;;;;;;23;;;
"001";"001030";"BORGOFRANCO D'IVREA";123;4;7;;;;;;132;2;;
"001";"001031";"BORGOMASINO";11;2;1;;;;;;14;;;
"001";"001032";"BORGONE SUSA";89;1;10;;;;;;100;;;
"001";"001033";"BOSCONERO";56;;12;;;;;;68;;;
"001";"001034";"BRANDIZZO";270;5;5;;;;;;274;2;;1
"001";"001035";"BRICHERASIO";60;2;2;;;;;;64;;;
"001";"001036";"BROSSO";7;6;5;;;;;;18;;;
"001";"001037";"BROZOLO";2;3;5;;;;;;10;;;
"001";"001038";"BRUINO";253;3;1;;;;;;233;11;3;3
"001";"001039";"BRUSASCO";27;2;2;;;;;;31;;;
"001";"001040";"BRUZOLO";51;1;9;;;;;;61;;;
"001";"001041";"BURIASCO";16;;1;;;;;;17;;;
"001";"001042";"BUROLO";61;3;1;;;;;;63;1;1;
"001";"001043";"BUSANO";39;;10;;;;;;48;;;
"001";"001044";"BUSSOLENO";148;11;7;;;;1;;167;;;
"001";"001045";"BUTTIGLIERA ALTA";154;5;5;;;1;;;151;6;2;
"001";"001046";"CAFASSE";93;6;15;;;;1;;115;;;
"001";"001047";"CALUSO";101;;7;;;;;;107;1;;
"001";"001048";"CAMBIANO";122;4;14;;;;;;129;1;3;1
"001";"001049";"CAMPIGLIONE-FENILE";24;;2;;;;;;19;4;3;
"001";"001050";"CANDIA CANAVESE";30;4;1;;;;;;35;;;
"001";"001051";"CANDIOLO";250;;1;;;;;1;244;2;1;2
"001";"001052";"CANISCHIO";;;8;;;;;;8;;;
"001";"001053";"CANTALUPA";28;2;1;;;;;;30;1;;
